11:25:22.563431,(-60,-47,-72),(-70,-56,-84),(-76,-69,-87),(-95,-92,-97),(-74,-64,-81),(-63,-52,-79)
11:25:24.900897,(-59,-48,-72),(-68,-56,-79),(-71,-59,-75),(-91,-83,-97),(-77,-74,-82),(-65,-55,-74)
11:25:27.233078,(-64,-45,-84),(-72,-55,-79),(-67,-53,-88),(-98,-95,-101),(-83,-65,-101),(-71,-68,-74)
11:25:29.570632,(-62,-53,-70),(-64,-55,-75),(-67,-56,-82),(-94,-91,-95),(-77,-63,-89),(-69,-60,-75)
11:25:31.902487,(-55,-40,-63),(-71,-57,-89),(-68,-50,-81),(-93,-87,-98),(-78,-60,-91),(-69,-51,-89)
11:25:34.206581,(-61,-49,-81),(-69,-61,-77),(-64,-49,-85),(-92,-79,-99),(-75,-68,-88),(-62,-53,-69)
11:25:36.518484,(-62,-48,-68),(-66,-51,-74),(-65,-59,-74),(-90,-85,-92),(-77,-61,-88),(-68,-55,-77)
11:25:38.826857,(-67,-55,-72),(-72,-60,-95),(-62,-48,-90),(-89,-78,-97),(-72,-62,-78),(-63,-52,-71)
11:25:41.131391,(-62,-50,-70),(-70,-66,-80),(-65,-49,-76),(-88,-82,-91),(-80,-71,-86),(-66,-52,-78)
11:25:43.417148,(-64,-52,-74),(-69,-55,-86),(-60,-46,-68),(-86,-76,-90),(-81,-75,-94),(-65,-49,-81)
11:25:45.722745,(-70,-59,-78),(-64,-49,-78),(-64,-60,-68),(-92,-89,-96),(-73,-60,-83),(-71,-55,-79)
11:25:48.019016,(-57,-42,-67),(-67,-58,-73),(-61,-54,-64),(-86,-76,-92),(-74,-58,-97),(-66,-56,-72)
11:25:50.342580,(-61,-46,-73),(-71,-61,-83),(-63,-47,-69),(-88,-79,-94),(-75,-69,-83),(-68,-59,-77)
11:25:52.661538,(-61,-49,-73),(-65,-51,-73),(-64,-51,-78),(-89,-78,-93),(-76,-66,-88),(-64,-52,-77)
11:25:54.962830,(-68,-50,-74),(-65,-46,-75),(-66,-50,-71),(-89,-82,-91),(-77,-61,-87),(-68,-50,-84)
11:25:57.279927,(-66,-61,-75),(-68,-54,-80),(-68,-53,-76),(-91,-84,-99),(-75,-59,-83),(-68,-53,-72)
11:25:59.597660,(-61,-47,-68),(-65,-53,-88),(-70,-57,-79),(-90,-81,-101),(-83,-76,-92),(-71,-57,-82)
11:26:01.896767,(-66,-62,-72),(-67,-52,-75),(-71,-58,-76),(-93,-89,-99),(-81,-76,-89),(-65,-53,-81)
11:26:04.234203,(-61,-49,-69),(-75,-60,-87),(-70,-52,-79),(-98,-94,-101),(-78,-70,-87),(-65,-55,-75)
11:26:06.537725,(-64,-54,-72),(-71,-55,-81),(-70,-57,-76),(-91,-87,-96),(-76,-59,-93),(-65,-55,-72)
11:26:08.833796,(-61,-48,-67),(-66,-49,-86),(-61,-51,-73),(-89,-82,-95),(-76,-61,-88),(-68,-55,-77)
11:26:11.136491,(-68,-59,-79),(-64,-50,-81),(-65,-52,-73),(-87,-82,-91),(-76,-69,-81),(-69,-59,-77)
11:26:13.432832,(-64,-48,-73),(-66,-49,-81),(-61,-50,-79),(-88,-82,-92),(-71,-59,-77),(-64,-60,-69)
11:26:15.760015,(-68,-56,-76),(-65,-52,-73),(-65,-59,-72),(-86,-80,-94),(-75,-62,-83),(-72,-65,-82)
11:26:18.065499,(-69,-57,-79),(-57,-47,-69),(-55,-45,-69),(-89,-74,-95),(-75,-66,-85),(-68,-54,-74)
11:26:20.401606,(-69,-62,-76),(-63,-45,-74),(-60,-54,-68),(-83,-74,-92),(-78,-73,-85),(-62,-52,-73)
11:26:22.702202,(-64,-52,-73),(-68,-51,-81),(-74,-52,-91),(-85,-79,-93),(-77,-71,-85),(-61,-47,-74)
11:26:25.039715,(-63,-51,-67),(-71,-59,-75),(-71,-61,-75),(-96,-91,-98),(-83,-74,-94),(-70,-55,-82)
11:26:27.374353,(-64,-50,-69),(-68,-56,-77),(-71,-52,-89),(-89,-80,-96),(-84,-68,-93),(-71,-57,-82)
11:26:29.712147,(-66,-56,-74),(-68,-51,-90),(-69,-54,-82),(-83,-76,-87),(-83,-76,-91),(-65,-54,-71)
11:26:32.055221,(-58,-42,-68),(-70,-58,-81),(-59,-43,-68),(-87,-76,-93),(-72,-59,-83),(-63,-50,-74)
11:26:34.413242,(-62,-46,-70),(-73,-59,-92),(-71,-58,-93),(-91,-87,-94),(-76,-65,-83),(-71,-53,-85)
11:26:36.719073,(-59,-53,-73),(-71,-58,-88),(-67,-55,-74),(-92,-79,-101),(-79,-68,-92),(-66,-54,-73)
11:26:39.014021,(-67,-57,-73),(-72,-61,-81),(-62,-50,-70),(-87,-80,-91),(-76,-68,-86),(-68,-60,-77)
11:26:41.347371,(-63,-50,-75),(-66,-54,-77),(-58,-51,-66),(-83,-73,-94),(-75,-70,-83),(-65,-51,-76)
11:26:43.661167,(-67,-51,-80),(-66,-54,-79),(-59,-52,-63),(-88,-75,-98),(-75,-65,-82),(-71,-55,-85)
11:26:45.967619,(-66,-47,-78),(-60,-51,-67),(-57,-43,-65),(-82,-72,-90),(-71,-59,-77),(-65,-44,-76)
11:26:48.275972,(-65,-52,-74),(-69,-64,-82),(-55,-42,-68),(-86,-79,-94),(-72,-61,-77),(-61,-49,-68)
11:26:50.586365,(-63,-50,-75),(-64,-48,-81),(-62,-50,-83),(-89,-81,-95),(-75,-70,-78),(-61,-50,-84)
11:26:52.932630,(-67,-50,-83),(-63,-54,-69),(-57,-44,-63),(-87,-79,-96),(-74,-59,-86),(-59,-48,-67)
11:26:55.275621,(-68,-49,-74),(-67,-55,-74),(-53,-45,-64),(-93,-88,-97),(-73,-57,-85),(-69,-57,-72)
11:26:57.588684,(-63,-51,-70),(-62,-50,-72),(-54,-44,-60),(-84,-78,-92),(-74,-62,-91),(-63,-58,-79)
11:26:59.919823,(-61,-49,-71),(-58,-44,-69),(-62,-46,-73),(-88,-80,-100),(-79,-58,-94),(-64,-53,-70)
11:27:02.228037,(-69,-56,-86),(-63,-60,-69),(-66,-62,-69),(-80,-74,-89),(-73,-59,-82),(-69,-61,-80)
11:27:04.536497,(-64,-48,-69),(-64,-55,-71),(-60,-49,-76),(-91,-84,-96),(-75,-61,-84),(-71,-56,-86)
11:27:06.871900,(-62,-44,-78),(-63,-51,-73),(-63,-53,-69),(-88,-77,-98),(-79,-56,-92),(-68,-55,-80)
11:27:09.178073,(-56,-45,-67),(-70,-54,-91),(-64,-55,-71),(-89,-78,-93),(-76,-60,-88),(-66,-54,-78)
11:27:11.475496,(-60,-48,-67),(-72,-60,-89),(-65,-51,-79),(-96,-93,-101),(-81,-69,-88),(-70,-62,-83)
11:27:13.823452,(-66,-61,-71),(-72,-61,-80),(-67,-52,-81),(-92,-80,-99),(-80,-66,-89),(-73,-67,-78)
11:27:16.129978,(-60,-43,-70),(-69,-51,-79),(-68,-58,-79),(-90,-79,-95),(-77,-68,-82),(-71,-53,-79)
11:27:18.465042,(-62,-44,-88),(-68,-49,-78),(-63,-53,-73),(-89,-83,-94),(-77,-66,-84),(-62,-46,-74)
11:27:20.761755,(-64,-56,-73),(-66,-54,-77),(-59,-47,-63),(-80,-74,-90),(-72,-60,-82),(-67,-58,-71)
11:27:23.088889,(-65,-52,-70),(-59,-50,-68),(-70,-62,-84),(-85,-75,-94),(-74,-63,-82),(-63,-51,-72)
