11:20:28.212853,(-50,-36,-56),(-70,-58,-77),(-70,-55,-81),(-88,-79,-91),(-78,-63,-92),(-67,-56,-74)
11:20:30.519066,(-52,-41,-56),(-70,-54,-88),(-69,-55,-78),(-89,-81,-94),(-75,-68,-81),(-75,-66,-85)
11:20:32.826206,(-54,-46,-62),(-68,-52,-80),(-72,-62,-83),(-89,-87,-90),(-82,-63,-90),(-71,-57,-81)
11:20:35.163919,(-62,-47,-75),(-64,-50,-72),(-69,-51,-79),(-91,-81,-95),(-82,-71,-88),(-70,-59,-80)
11:20:37.471649,(-54,-44,-63),(-68,-62,-77),(-71,-54,-81),(-89,-83,-97),(-76,-70,-85),(-71,-57,-76)
11:20:39.765869,(-57,-54,-61),(-67,-54,-78),(-69,-58,-79),(-91,-90,-92),(-79,-72,-95),(-70,-58,-80)
11:20:42.084979,(-63,-45,-73),(-66,-51,-76),(-69,-65,-75),(-90,-86,-92),(-74,-61,-85),(-68,-53,-73)
11:20:44.393848,(-66,-62,-68),(-65,-58,-73),(-68,-53,-77),(-83,-71,-91),(-77,-61,-91),(-68,-57,-75)
11:20:46.749838,(-70,-60,-80),(-60,-48,-72),(-60,-48,-70),(-86,-78,-93),(-75,-59,-90),(-61,-48,-71)
11:20:49.074736,(-67,-49,-73),(-62,-46,-73),(-67,-58,-72),(-93,-82,-99),(-75,-61,-87),(-56,-41,-65)
11:20:51.392183,(-64,-50,-72),(-59,-49,-68),(-67,-54,-80),(-82,-69,-89),(-70,-58,-74),(-54,-38,-67)
11:20:53.738213,(-66,-50,-78),(-65,-52,-76),(-70,-64,-77),(-88,-85,-92),(-70,-56,-74),(-60,-46,-68)
11:20:56.050490,(-66,-46,-83),(-65,-54,-74),(-66,-53,-77),(-93,-79,-98),(-68,-51,-76),(-69,-64,-73)
11:20:58.358076,(-65,-55,-78),(-65,-44,-70),(-70,-61,-85),(-83,-74,-92),(-76,-66,-89),(-71,-55,-82)
11:21:00.695496,(-62,-50,-68),(-67,-50,-86),(-65,-52,-71),(-90,-71,-102),(-74,-59,-81),(-67,-53,-76)
11:21:03.009202,(-68,-58,-79),(-68,-51,-94),(-69,-48,-88),(-87,-76,-95),(-76,-61,-86),(-65,-55,-78)
11:21:05.350513,(-68,-51,-82),(-67,-59,-82),(-75,-61,-85),(-89,-80,-93),(-76,-70,-82),(-69,-62,-72)
11:21:07.689368,(-62,-46,-79),(-66,-51,-87),(-79,-67,-91),(-90,-81,-97),(-72,-59,-87),(-69,-52,-85)
11:21:10.025366,(-65,-48,-86),(-66,-55,-74),(-73,-57,-86),(-83,-76,-88),(-73,-59,-83),(-70,-57,-85)
11:21:12.352302,(-55,-45,-64),(-66,-48,-77),(-72,-63,-84),(-88,-81,-93),(-72,-64,-78),(-72,-61,-91)
11:21:14.672664,(-60,-53,-72),(-67,-55,-76),(-75,-66,-83),(-90,-76,-98),(-76,-61,-88),(-75,-54,-90)
11:21:16.968599,(-55,-40,-65),(-64,-51,-78),(-64,-51,-72),(-92,-85,-95),(-79,-69,-86),(-77,-70,-94)
11:21:19.283960,(-64,-54,-79),(-67,-55,-84),(-65,-53,-76),(-89,-79,-92),(-76,-67,-85),(-68,-57,-76)
11:21:21.616035,(-56,-41,-66),(-61,-57,-66),(-69,-52,-79),(-85,-75,-92),(-72,-56,-85),(-68,-51,-85)
11:21:23.921543,(-68,-58,-76),(-63,-58,-67),(-68,-52,-85),(-91,-75,-102),(-70,-59,-80),(-65,-50,-84)
11:21:26.253646,(-68,-53,-78),(-62,-51,-70),(-63,-54,-70),(-85,-77,-99),(-75,-59,-86),(-66,-50,-73)
11:21:28.568861,(-71,-50,-78),(-61,-48,-72),(-68,-50,-76),(-86,-79,-93),(-73,-62,-80),(-60,-49,-72)
11:21:30.881327,(-64,-50,-74),(-67,-57,-78),(-68,-52,-77),(-90,-75,-97),(-72,-57,-84),(-68,-62,-70)
11:21:33.213021,(-70,-64,-76),(-60,-47,-67),(-62,-49,-74),(-90,-84,-98),(-69,-59,-76),(-62,-48,-68)
11:21:35.556669,(-66,-52,-75),(-68,-58,-77),(-65,-52,-73),(-85,-72,-94),(-68,-54,-78),(-67,-55,-79)
11:21:37.869116,(-65,-54,-76),(-68,-55,-77),(-71,-57,-86),(-88,-79,-98),(-73,-61,-85),(-67,-56,-72)
11:21:40.232337,(-65,-49,-81),(-71,-58,-78),(-66,-55,-77),(-85,-75,-95),(-78,-69,-89),(-76,-68,-87)
11:21:42.562393,(-61,-48,-70),(-71,-57,-90),(-66,-49,-79),(-87,-82,-90),(-78,-72,-83),(-67,-51,-75)
11:21:44.905383,(-67,-51,-81),(-66,-49,-75),(-67,-57,-72),(-89,-78,-94),(-79,-69,-85),(-68,-53,-78)
11:21:47.268237,(-64,-57,-72),(-71,-51,-83),(-71,-54,-82),(-88,-82,-94),(-77,-64,-84),(-70,-55,-84)
11:21:49.579385,(-58,-44,-72),(-69,-60,-77),(-75,-71,-80),(-87,-78,-96),(-76,-70,-79),(-71,-55,-81)
11:21:51.902375,(-50,-37,-59),(-68,-56,-79),(-70,-59,-79),(-90,-86,-93),(-80,-74,-83),(-69,-54,-78)
11:21:54.248169,(-53,-49,-56),(-71,-53,-85),(-75,-58,-83),(-89,-83,-93),(-82,-61,-97),(-73,-58,-82)
11:21:56.586143,(-50,-39,-60),(-65,-49,-76),(-66,-50,-72),(-88,-79,-91),(-76,-66,-89),(-74,-57,-86)
11:21:58.893067,(-56,-46,-68),(-65,-54,-81),(-66,-52,-78),(-92,-85,-100),(-81,-62,-92),(-69,-55,-81)
11:22:01.229341,(-56,-39,-70),(-64,-53,-71),(-66,-59,-82),(-87,-76,-95),(-76,-66,-84),(-70,-57,-80)
11:22:03.535733,(-66,-58,-74),(-63,-52,-77),(-62,-52,-71),(-88,-85,-90),(-71,-55,-78),(-70,-59,-84)
11:22:05.902754,(-68,-54,-78),(-59,-48,-67),(-67,-56,-75),(-89,-83,-94),(-72,-56,-80),(-69,-54,-78)
11:22:08.239024,(-66,-55,-74),(-64,-51,-75),(-68,-51,-87),(-89,-74,-102),(-74,-70,-78),(-66,-51,-79)
11:22:10.578392,(-66,-50,-72),(-65,-49,-77),(-72,-55,-85),(-85,-78,-93),(-69,-56,-80),(-67,-56,-74)
11:22:12.891262,(-67,-59,-77),(-58,-47,-73),(-71,-66,-72),(-87,-79,-92),(-76,-67,-90),(-66,-49,-73)
11:22:15.191597,(-66,-55,-72),(-62,-50,-73),(-71,-57,-81),(-84,-75,-93),(-79,-70,-94),(-70,-58,-83)
11:22:17.559641,(-68,-57,-75),(-59,-46,-65),(-72,-65,-74),(-91,-83,-103),(-72,-58,-82),(-60,-47,-72)
11:22:19.867268,(-72,-67,-78),(-61,-48,-75),(-68,-53,-88),(-89,-83,-100),(-75,-59,-92),(-55,-42,-64)
11:22:22.203340,(-67,-50,-82),(-64,-50,-77),(-72,-57,-84),(-86,-77,-94),(-76,-64,-83),(-68,-49,-84)
11:22:24.510806,(-63,-53,-71),(-66,-56,-73),(-74,-58,-86),(-87,-77,-93),(-74,-68,-80),(-73,-55,-87)
11:22:26.814281,(-64,-50,-75),(-69,-53,-79),(-70,-63,-77),(-91,-80,-96),(-75,-56,-86),(-69,-54,-80)
11:22:29.150806,(-68,-51,-82),(-61,-50,-67),(-67,-54,-78),(-88,-75,-96),(-68,-56,-79),(-64,-54,-73)
11:22:31.466362,(-63,-50,-83),(-68,-42,-87),(-64,-50,-96),(-87,-72,-94),(-77,-72,-81),(-54,-40,-69)
