11:30:06.683610,(-78,-69,-88),(-74,-58,-84),(-55,-41,-62),(-73,-56,-83),(-83,-78,-87),(-73,-62,-85)
11:30:08.980543,(-73,-61,-80),(-71,-58,-83),(-50,-34,-61),(-70,-62,-83),(-83,-70,-90),(-71,-57,-82)
11:30:11.314137,(-69,-57,-82),(-63,-54,-82),(-46,-37,-51),(-69,-59,-77),(-80,-69,-87),(-66,-52,-72)
11:30:13.649569,(-62,-57,-68),(-73,-62,-80),(-42,-28,-50),(-74,-59,-85),(-73,-62,-79),(-67,-53,-78)
11:30:15.963893,(-66,-58,-73),(-62,-50,-76),(-56,-45,-72),(-71,-59,-78),(-79,-68,-84),(-67,-49,-77)
11:30:18.293572,(-70,-63,-78),(-67,-54,-80),(-54,-40,-66),(-74,-61,-85),(-89,-82,-98),(-77,-67,-84)
11:30:20.599519,(-75,-68,-79),(-70,-60,-78),(-54,-41,-62),(-68,-57,-77),(-80,-72,-85),(-76,-61,-85)
11:30:22.911556,(-72,-59,-80),(-68,-59,-74),(-53,-39,-62),(-67,-46,-82),(-81,-72,-98),(-76,-68,-82)
11:30:25.241256,(-75,-71,-82),(-65,-49,-77),(-52,-39,-56),(-77,-59,-90),(-81,-73,-90),(-71,-60,-87)
11:30:27.552569,(-75,-64,-85),(-69,-54,-80),(-63,-44,-80),(-67,-57,-77),(-83,-79,-86),(-71,-58,-83)
11:30:29.850915,(-78,-67,-88),(-72,-56,-87),(-61,-48,-75),(-67,-56,-71),(-82,-71,-89),(-68,-60,-91)
11:30:32.183683,(-79,-66,-91),(-73,-66,-77),(-61,-49,-68),(-65,-58,-68),(-80,-76,-84),(-73,-60,-90)
11:30:34.489581,(-75,-63,-91),(-64,-50,-78),(-58,-42,-70),(-73,-61,-80),(-77,-67,-87),(-69,-56,-77)
11:30:36.853314,(-80,-74,-91),(-71,-61,-81),(-61,-43,-72),(-75,-61,-86),(-75,-64,-95),(-76,-70,-84)
11:30:39.161829,(-80,-65,-88),(-80,-69,-89),(-62,-50,-68),(-74,-67,-82),(-79,-72,-86),(-74,-69,-82)
11:30:41.505088,(-79,-66,-94),(-75,-71,-79),(-61,-48,-69),(-70,-56,-83),(-78,-65,-84),(-73,-60,-82)
11:30:43.827760,(-81,-69,-97),(-67,-55,-72),(-56,-45,-71),(-69,-59,-86),(-84,-80,-88),(-76,-58,-92)
11:30:46.139573,(-71,-60,-82),(-65,-52,-79),(-56,-42,-65),(-78,-74,-82),(-83,-76,-89),(-74,-69,-84)
11:30:48.472373,(-78,-68,-89),(-58,-46,-65),(-48,-38,-66),(-80,-62,-96),(-82,-69,-89),(-71,-62,-77)
11:30:50.790296,(-71,-59,-80),(-64,-49,-77),(-52,-34,-62),(-79,-67,-87),(-79,-68,-84),(-70,-52,-87)
