11:27:38.116994,(-69,-61,-75),(-63,-56,-73),(-54,-40,-66),(-81,-74,-88),(-74,-62,-78),(-66,-50,-84)
11:27:40.425128,(-74,-67,-88),(-54,-40,-70),(-57,-43,-72),(-88,-81,-93),(-81,-75,-88),(-70,-55,-81)
11:27:42.761790,(-69,-55,-78),(-48,-34,-59),(-64,-59,-70),(-93,-88,-100),(-78,-66,-88),(-72,-58,-82)
11:27:45.071963,(-69,-51,-79),(-67,-53,-80),(-55,-40,-83),(-84,-69,-94),(-77,-70,-84),(-73,-66,-77)
11:27:47.380237,(-65,-52,-71),(-61,-48,-76),(-63,-55,-69),(-84,-72,-99),(-74,-58,-83),(-63,-52,-77)
11:27:49.715172,(-70,-54,-80),(-61,-51,-84),(-54,-42,-59),(-88,-71,-96),(-76,-57,-89),(-64,-48,-81)
11:27:52.019839,(-74,-59,-82),(-57,-46,-72),(-52,-40,-54),(-75,-73,-77),(-76,-67,-87),(-69,-62,-74)
11:27:54.330681,(-76,-66,-79),(-67,-55,-75),(-46,-37,-56),(-86,-73,-94),(-78,-61,-89),(-63,-56,-71)
11:27:56.638914,(-78,-61,-92),(-68,-53,-78),(-47,-36,-57),(-82,-71,-88),(-80,-62,-89),(-65,-55,-76)
11:27:58.944824,(-71,-55,-83),(-64,-50,-73),(-64,-59,-72),(-83,-76,-91),(-82,-71,-88),(-72,-60,-80)
11:28:01.286399,(-69,-51,-81),(-60,-51,-66),(-65,-50,-79),(-84,-75,-92),(-79,-73,-87),(-62,-47,-73)
11:28:03.596314,(-71,-67,-78),(-59,-48,-69),(-47,-32,-58),(-84,-72,-93),(-78,-65,-91),(-64,-46,-80)
11:28:05.966058,(-70,-56,-84),(-63,-49,-72),(-57,-42,-68),(-78,-72,-86),(-81,-70,-89),(-68,-62,-78)
11:28:08.296776,(-68,-57,-76),(-59,-48,-67),(-66,-57,-72),(-88,-76,-105),(-75,-62,-84),(-69,-63,-72)
11:28:10.605681,(-64,-54,-73),(-60,-50,-69),(-59,-54,-64),(-84,-75,-88),(-83,-78,-89),(-71,-50,-80)
11:28:12.898310,(-77,-61,-94),(-62,-49,-77),(-54,-40,-64),(-83,-71,-97),(-82,-72,-92),(-65,-54,-73)
11:28:15.214409,(-75,-70,-86),(-62,-50,-68),(-60,-51,-68),(-86,-79,-95),(-82,-70,-92),(-67,-58,-76)
11:28:17.552955,(-68,-57,-77),(-60,-48,-77),(-65,-55,-72),(-89,-78,-96),(-79,-71,-86),(-63,-55,-69)
11:28:19.896931,(-70,-48,-84),(-52,-41,-57),(-62,-47,-70),(-88,-78,-94),(-80,-69,-89),(-70,-55,-91)
